NIM,Nama Mahasiswa,Semester,Nilai UTS,Nilai UAS,Nilai Tugas,Nilai Akhir,IPK,Status
2103001,Okta Santoso,3,95,91,93,92,3.76,Cuti
2103002,Indah Pratama,3,88,70,90,81,3.48,Aktif
2103003,Gita Hidayat,3,76,71,77,74,3.03,Aktif
2103004,Nur Hidayat,3,81,91,83,85,3.9,Aktif
2103005,Okta Putra,3,67,62,98,74,3.28,Aktif
2103006,Budi Wati,3,93,79,84,84,3.04,Cuti
2103007,Joko Santoso,3,81,76,73,76,3.04,Aktif
2103008,Dewi Wijaya,3,71,89,79,80,3.47,Aktif
2103009,Budi Hidayat,3,72,81,79,77,3.45,Cuti
2103010,Okta Kusuma,3,91,85,71,82,3.23,Aktif
2103011,Lina Santoso,3,79,74,70,74,3.17,Aktif
2103012,Eko Pratama,3,93,76,80,82,3.11,Aktif
2103013,Made Putri,3,92,87,83,87,3.72,Aktif
2103014,Fitri Sari,3,86,86,95,88,3.91,Aktif
2103015,Okta Wati,3,67,86,97,83,3.49,Aktif
