NIM,Nama Mahasiswa,Semester,Nilai UTS,Nilai UAS,Nilai Tugas,Nilai Akhir,IPK,Status
2102001,Lina Santoso,2,83,71,89,80,3.28,Aktif
2102002,Hadi Sari,2,66,70,79,71,3.48,Aktif
2102003,Made Wijaya,2,87,82,78,82,3.13,Aktif
2102004,Made Pratama,2,78,69,85,76,3.42,Aktif
2102005,Dewi Putri,2,90,94,90,91,3.78,Cuti
2102006,Joko Putri,2,71,78,78,75,3.36,Aktif
2102007,Fitri Rahman,2,70,91,81,81,3.28,Cuti
2102008,Okta Kusuma,2,69,81,73,75,3.27,Aktif
2102009,Eko Rahman,2,93,81,95,88,3.58,Aktif
2102010,Kartika Santoso,2,77,94,83,85,3.64,Aktif
2102011,Budi Pratama,2,68,92,93,85,3.91,Aktif
2102012,Budi Putri,2,79,68,79,74,3.26,Aktif
2102013,Siti Santoso,2,92,75,96,86,3.73,Aktif
2102014,Hadi Kusuma,2,80,92,97,89,3.79,Aktif
2102015,Indah Santoso,2,73,81,80,78,3.46,Aktif
