NIM,Nama Mahasiswa,Semester,Nilai UTS,Nilai UAS,Nilai Tugas,Nilai Akhir,IPK,Status
2104001,Dewi Santoso,4,75,64,95,76,3.39,Aktif
2104002,Fitri Kusuma,4,83,93,84,87,3.96,Cuti
2104003,Eko Wati,4,94,74,86,83,3.47,Aktif
2104004,Joko Putra,4,73,77,93,80,3.04,Aktif
2104005,Ahmad Pratama,4,94,82,81,85,3.51,Aktif
2104006,Kartika Putri,4,92,72,98,85,3.8,Cuti
2104007,Lina Hidayat,4,79,74,84,78,3.33,Aktif
2104008,Made Pratama,4,93,76,92,85,3.94,Aktif
2104009,Fitri Hidayat,4,83,92,70,82,3.16,Aktif
2104010,Nur Kusuma,4,74,87,75,79,3.43,Aktif
2104011,Nur Rahman,4,88,80,74,80,3.14,Aktif
2104012,Hadi Kusuma,4,89,76,79,80,3.32,Aktif
2104013,Made Hidayat,4,93,79,83,84,3.13,Aktif
2104014,Siti Putra,4,90,72,96,84,3.03,Aktif
2104015,Siti Wijaya,4,89,70,93,82,3.13,Aktif
