NIM,Nama Mahasiswa,Semester,Nilai UTS,Nilai UAS,Nilai Tugas,Nilai Akhir,IPK,Status
2101001,Joko Rahman,1,82,72,84,78,3.07,Aktif
2101002,Fitri Pratama,1,85,87,87,86,3.84,Cuti
2101003,Ahmad Hidayat,1,68,83,97,82,3.06,Aktif
2101004,Kartika Pratama,1,83,88,79,83,3.33,Aktif
2101005,Budi Pratama,1,87,89,99,91,3.68,Aktif
2101006,Lina Sari,1,79,90,83,84,3.29,Aktif
2101007,Siti Hidayat,1,81,76,97,83,3.32,Aktif
2101008,Ahmad Rahman,1,74,95,86,86,3.73,Aktif
2101009,Kartika Sari,1,86,72,86,80,3.45,Aktif
2101010,Budi Sari,1,68,98,99,89,3.56,Aktif
2101011,Siti Wati,1,65,65,94,73,3.47,Aktif
2101012,Nur Putri,1,88,60,85,75,3.45,Aktif
2101013,Kartika Hidayat,1,73,75,87,78,3.06,Aktif
2101014,Ahmad Wijaya,1,66,78,89,77,3.45,Aktif
2101015,Kartika Putri,1,85,76,86,81,3.5,Aktif
