NIM,Nama Mahasiswa,Semester,Nilai UTS,Nilai UAS,Nilai Tugas,Nilai Akhir,IPK,Status
2108001,Hadi Wijaya,8,65,62,74,66,2.85,Cuti
2108002,Kartika Wijaya,8,88,98,81,89,3.68,Aktif
2108003,Kartika Hidayat,8,92,67,77,77,3.2,Aktif
2108004,Budi Kusuma,8,94,72,88,83,3.2,Cuti
2108005,Fitri Wijaya,8,83,99,92,92,3.84,Aktif
2108006,Dewi Wati,8,82,80,95,85,3.97,Aktif
2108007,Hadi Kusuma,8,67,85,72,75,3.01,Aktif
2108008,Ahmad Santoso,8,75,74,89,78,3.19,Aktif
2108009,Made Wati,8,87,88,82,85,3.62,Aktif
2108010,Joko Rahman,8,76,86,86,83,3.42,Aktif
2108011,Kartika Sari,8,83,65,86,76,3.1,Aktif
2108012,Nur Kusuma,8,91,87,88,88,3.64,Aktif
2108013,Indah Kusuma,8,77,69,96,79,3.01,Aktif
2108014,Dewi Sari,8,72,66,99,77,3.5,Aktif
2108015,Gita Santoso,8,89,70,80,78,3.13,Aktif
