NIM,Nama Mahasiswa,Semester,Nilai UTS,Nilai UAS,Nilai Tugas,Nilai Akhir,IPK,Status
2105001,Eko Kusuma,5,94,92,96,93,3.65,Aktif
2105002,Nur Sari,5,81,97,70,84,3.14,Aktif
2105003,Okta Wati,5,66,70,100,77,3.5,Aktif
2105004,Gita Putra,5,84,62,83,74,3.35,Aktif
2105005,Gita Sari,5,73,74,96,80,3.27,Aktif
2105006,Lina Wati,5,87,73,89,82,3.47,Cuti
2105007,Fitri Hidayat,5,87,99,92,93,3.57,Aktif
2105008,Ahmad Pratama,5,81,95,87,88,3.67,Aktif
2105009,Nur Pratama,5,82,82,88,83,3.4,Aktif
2105010,Eko Hidayat,5,87,86,82,85,3.58,Aktif
2105011,Okta Pratama,5,80,63,78,72,3.01,Aktif
2105012,Eko Pratama,5,80,82,83,81,3.29,Aktif
2105013,Siti Rahman,5,80,94,93,89,3.6,Aktif
2105014,Nur Wati,5,76,71,75,73,3.13,Aktif
2105015,Ahmad Kusuma,5,90,86,81,85,3.61,Aktif
