NIM,Nama Mahasiswa,Semester,Nilai UTS,Nilai UAS,Nilai Tugas,Nilai Akhir,IPK,Status
2107001,Budi Pratama,7,71,83,71,75,3.24,Aktif
2107002,Nur Santoso,7,85,88,82,85,3.68,Aktif
2107003,Kartika Putri,7,93,61,80,76,3.48,Cuti
2107004,Okta Santoso,7,77,74,75,75,3.25,Cuti
2107005,Joko Putra,7,67,98,96,88,3.66,Aktif
2107006,Budi Hidayat,7,81,70,92,79,3.32,Aktif
2107007,Joko Putri,7,93,80,96,88,3.58,Aktif
2107008,Eko Santoso,7,69,82,71,74,3.21,Aktif
2107009,Hadi Santoso,7,94,83,82,86,3.56,Aktif
2107010,Nur Wati,7,69,85,93,82,3.29,Aktif
2107011,Gita Santoso,7,75,85,76,79,3.21,Aktif
2107012,Indah Wijaya,7,77,95,77,84,3.44,Aktif
2107013,Indah Wijaya,7,74,76,98,82,3.36,Aktif
2107014,Eko Santoso,7,72,61,95,74,3.28,Cuti
2107015,Siti Santoso,7,66,72,97,77,3.1,Aktif
